,city,prop_size(lower),out_code,prop_price
592,basingstoke,8083 ,GU1,750000
593,basingstoke,2008 ,GU1,800000
594,basingstoke,991,SO50, 6942 
595,basingstoke,1313 ,SO50,965000
596,basingstoke,991,SO50, 2989 
597,basingstoke,2000 ,GU21,1200000
598,basingstoke,1353 ,SO51,338250
599,basingstoke,1566 ,SO51,391500
600,basingstoke,2846 ,SO51,711500
601,basingstoke,1949 ,SO51,487250
602,basingstoke,1353 ,SO51,338250
603,basingstoke,1452 ,OX11,200000
604,basingstoke,1081 ,SO51,255000
605,basingstoke,552,SL4, 7292 
606,basingstoke,1960 ,SO18,365000
607,basingstoke,1894 ,SO51,850000
608,basingstoke,17220 ,PO17,2460000
609,basingstoke,7252 ,GU28,1250000
610,basingstoke,1967 ,PO8,550000
611,basingstoke,4632 ,HP14,435000
612,basingstoke,1497 ,KT14,190000
613,basingstoke,2067 ,SO18,250000
614,basingstoke,4900 ,KT14,1100000
615,basingstoke,915,KT14, 4900 
616,basingstoke,3318 ,SL1,1250000
617,basingstoke,1400 ,GU6,495000
618,basingstoke,3784 ,SL1,640000
619,basingstoke,1012 ,TW18,625000
620,basingstoke,1810 ,SO18,175000
621,basingstoke,6032 ,GU6,1250000
622,basingstoke,1080 ,GU6,400000
623,basingstoke,988,GU5, 5335 
624,basingstoke,3502 ,HP12,900000
625,basingstoke,5098 ,SO14,475000
626,basingstoke,1615 ,KT13,750000
627,basingstoke,1874 ,HP12,450000
628,basingstoke,2034 ,HP12,457500
629,basingstoke,3320 ,HP12,1850000
630,basingstoke,5872 ,SL3,975000
631,basingstoke,1368 ,SO15,265000
632,basingstoke,5051 ,SO31,625000
633,basingstoke,2309 ,SO31,550000
634,basingstoke,2928 ,SO14,365000
635,basingstoke,786,KT13, 1370 
636,basingstoke,2849 ,SL3,780000
637,basingstoke,1592 ,HP11,450000
638,basingstoke,2040 ,SO14,210000
639,basingstoke,1964 ,HP11,1500000
640,basingstoke,2637 ,HP11,595000
641,basingstoke,1237 ,HP11,295000
642,basingstoke,1350 ,SO14,250000
643,basingstoke,2279 ,PO16,260000
644,basingstoke,1988 ,HP11,595000
645,basingstoke,2770 ,HP13,695000
646,basingstoke,1258 ,SO31,180000
647,basingstoke,1130 ,SL3,675000
648,basingstoke,1514 ,OX14,275000
649,basingstoke,1012 ,OX14,200000
650,basingstoke,13772 ,PO6,1240000
651,basingstoke,2015 ,OX14,395000
652,basingstoke,1065 ,HP13,295000
653,basingstoke,12716 ,SO40,1000000
654,cardiff,1935 ,CF11,350000
655,cardiff,4014 ,CF24,600000
656,cardiff,20611 ,CF11,2250000
657,cardiff,1594 ,CF14,325000
658,cardiff,2828 ,CF24,150000
