,prop_desc,prop_price(£),prop_size(lower) SQ Ft,prop_size(upper) SQ Ft
150,"3 Retail Units For Sale/To Let, Canada Water, 24-28 Quebec Way, Rotherhithe, SE16 7LF",,"1,638 "," 5,446 "
151,"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ",770000.0,"2,152 ",
152,"3, Kelvedon Road, Parsons Green, SW6 5BP",,"1,406 ",
153,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
154,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
155,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
156,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
157,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
158,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
159,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
160,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
161,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
162,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
163,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
164,"A3/A4 Unit To Let or For Sale, 348 Coldharbour Lane, Brixton, SW9 8QH",550000.0,560 ,
165,"1-3 Michael Road, Chelsea, SW6 2ER",,"5,889 ",
166,"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL",1999950.0,"3,891 ",
167,"3 Retail Units For Sale/To Let, Canada Water, 24-28 Quebec Way, Rotherhithe, SE16 7LF",,"1,638 "," 5,446 "
168,"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ",770000.0,"2,152 ",
169,"3, Kelvedon Road, Parsons Green, SW6 5BP",,"1,406 ",
170,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.0,"1,728 ",
171,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
172,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
173,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
174,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
175,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
176,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
177,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
178,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
179,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
180,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
